# Clock frequency is approx. 2319.0 MHz
# Memory mountain (MB/sec)
15	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
17	11657	5636	3745	2854	2361	2013	1715	1491	1361	1250	1159	1081	1032	988	958	
16	11681	5932	3692	2859	2355	2004	1708	1487	1354	1247	1157	1077	1026	986	959	
15	11753	5922	3731	2879	2364	1996	1698	1493	1360	1251	1160	1080	1028	990	969	
14	11771	5991	3756	2882	2389	2017	1718	1487	1363	1231	1167	1083	1029	986	964	
13	11784	5991	3770	2883	2389	2035	1733	1507	1370	1263	1172	1092	1044	1009	971	
12	13766	7437	4914	3720	3084	2628	2239	1920	1779	1679	1614	1581	1667	1787	1921	
11	19731	13370	10197	7535	6217	5433	4842	4288	4109	3981	3964	3919	3937	4099	4085	
10	20746	14550	11155	8280	6761	5994	5316	4749	4599	4470	4363	4278	4227	4189	4051	
9	20215	14143	10863	8059	6579	5849	5173	4742	4601	4475	4390	4319	4296	4327	4409	
8	22576	16549	13574	10502	8585	7497	6675	5892	5904	6012	6160	6645	6905	7276	7561	
7	26954	22045	21267	17930	14802	12690	11035	9879	9752	9708	9719	9742	9750	9819	9865	
6	27354	22206	22248	19820	16682	13833	12035	10739	10553	10531	10457	10484	10475	12652	20304	
5	34794	34229	33327	32308	32610	31581	31193	29870	30584	30757	30969	30437	28930	29019	28941	
4	35148	33863	32809	31662	31920	30882	29492	27937	27767	27727	25204	25324	23950	29492	24350	
